"Product name ","Short Description","Regular Price","SKU","Attr - Flow Type","Attr - Flow Type Value","Attr - Material Type Name","Attr -  Material Type  Value","Attr - Colour","Attr - Colour Value","Collection Icon","Collection","Ranges","Categories","Image URL"
"P31 Toilet Brush Holder","","2000","AF310591CHBR","Flow Type","","Material Type","","Colour ","Chrome","https://astralbathware.com/staging/wp-content/uploads/2022/07/premia.png","Premia","P31","Faucets>Bathroom Accessories ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
"G10 Towel Rack 600 mm","","4000","AF100506CHSS","Flow Type","","Material Type","","Colour ","Chrome","https://astralbathware.com/staging/wp-content/uploads/2022/06/gloria.png","Gloria","G10","Faucets>Bathroom Accessories ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
"G10 Towel Rack 450 mm","","3800","AF100501CHSS","Flow Type","","Material Type","","Colour ","Chrome","https://astralbathware.com/staging/wp-content/uploads/2022/06/gloria.png","Gloria","G10","Faucets>Bathroom Accessories ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
"G10 Towel Rod 600 mm","","1600","AF100516CHSS","Flow Type","","Material Type","","Colour ","Chrome","https://astralbathware.com/staging/wp-content/uploads/2022/06/gloria.png","Gloria","G10","Faucets>Bathroom Accessories ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
"G10 Towel Rod 450 mm","","1400","AF100511CHSS","Flow Type","","Material Type","","Colour ","Chrome","https://astralbathware.com/staging/wp-content/uploads/2022/06/gloria.png","Gloria","G10","Faucets>Bathroom Accessories ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
"G10 Dual Towel Rod 600 mm","","2700","AF100521CHSS","Flow Type","","Material Type","","Colour ","Chrome","https://astralbathware.com/staging/wp-content/uploads/2022/06/gloria.png","Gloria","G10","Faucets>Bathroom Accessories ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
"G10 Dual Towel Rod 450 mm","","2500","AF100526CHSS","Flow Type","","Material Type","","Colour ","Chrome","https://astralbathware.com/staging/wp-content/uploads/2022/06/gloria.png","Gloria","G10","Faucets>Bathroom Accessories ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
"G10 Towel Ring","","900","AF100531CHSS","Flow Type","","Material Type","","Colour ","Chrome","https://astralbathware.com/staging/wp-content/uploads/2022/06/gloria.png","Gloria","G10","Faucets>Bathroom Accessories ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
"G10 Soap Dish","","900","AF100541CHSS","Flow Type","","Material Type","","Colour ","Chrome","https://astralbathware.com/staging/wp-content/uploads/2022/06/gloria.png","Gloria","G10","Faucets>Bathroom Accessories ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
"G10 Soap Dish with Tumbler","","1800","AF100546CHSS","Flow Type","","Material Type","","Colour ","Chrome","https://astralbathware.com/staging/wp-content/uploads/2022/06/gloria.png","Gloria","G10","Faucets>Bathroom Accessories ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
"G10 Rob Hook","","500","AF100561CHSS","Flow Type","","Material Type","","Colour ","Chrome","https://astralbathware.com/staging/wp-content/uploads/2022/06/gloria.png","Gloria","G10","Faucets>Bathroom Accessories ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
"G10 Tumbler Holder with Tooth Brush Holder","","900","AF100566CHSS","Flow Type","","Material Type","","Colour ","Chrome","https://astralbathware.com/staging/wp-content/uploads/2022/06/gloria.png","Gloria","G10","Faucets>Bathroom Accessories ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
"G10 Toilet Paper Holder with Lid","","1500","AF100576CHSS","Flow Type","","Material Type","","Colour ","Chrome","https://astralbathware.com/staging/wp-content/uploads/2022/06/gloria.png","Gloria","G10","Faucets>Bathroom Accessories ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
"G10 Soap Dispenser","","1500","AF100556CHSS","Flow Type","","Material Type","","Colour ","Chrome","https://astralbathware.com/staging/wp-content/uploads/2022/06/gloria.png","Gloria","G10","Faucets>Bathroom Accessories ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
"G10 Glass Corner 225 mm X 225 mm with 6 mm Glass","","1600","AF100592CHBR","Flow Type","","Material Type","","Colour ","Chrome","https://astralbathware.com/staging/wp-content/uploads/2022/06/gloria.png","Gloria","G10","Faucets>Bathroom Accessories ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
"G10 Glass Corner 300 mm X 300 mm with 6 mm Glass","","1900","AF100593CHBR","Flow Type","","Material Type","","Colour ","Chrome","https://astralbathware.com/staging/wp-content/uploads/2022/06/gloria.png","Gloria","G10","Faucets>Bathroom Accessories ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
"G10 Glass Self 300 mm x 125 mm with 6 mm Glass","","2000","AF100594CHBR","Flow Type","","Material Type","","Colour ","Chrome","https://astralbathware.com/staging/wp-content/uploads/2022/06/gloria.png","Gloria","G10","Faucets>Bathroom Accessories ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Waste Coupling Full Thread 32 mm","","600","AF901801CHSS","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Complementory Products>Waste Coupling ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Waste Coupling Half Thread 32 mm","","600","AF901802CHSS","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Complementory Products>Waste Coupling ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Waste Coupling Full Thread 32 mm with pop up","","1000","AF901803CHSS","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Complementory Products>Waste Coupling ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Waste Coupling Full Thread 32 mm with Ceramic Pop Up","","1300","AF901804CHSS","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Complementory Products>Waste Coupling ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Waste Coupling Full Thread W: 32 mmH:130 mm","","1200","AF901805CHSS","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Complementory Products>Waste Coupling ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Bottle Trap 175 mm","","1900","AF901904CHBR","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Complementory Products>Bottle Traps","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Bottle Trap 225 mm","","2000","AF901905CHBR","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Complementory Products>Bottle Traps","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Bottle Trap 300 mm","","2100","AF901906CHBR","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Complementory Products>Bottle Traps","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Angle Cock","","600","AF901303CHBR","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Complementory Products>Angle Valves","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Angle Cock","","600","AF901301CHBR","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Complementory Products>Angle Valves","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Angle Cock","","750","AF901302CHBR","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Complementory Products>Angle Valves","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Extension Nipple 25 mm","","80","AF902210CHBR","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Complementory Products>Faucets Accessories ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Extension Nipple 35 mm","","100","AF902215CHBR","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Complementory Products>Faucets Accessories ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Extension Nipple 50 mm","","150","AF902220CHBR","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Complementory Products>Faucets Accessories ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Extension Nipple 65 mm","","180","AF902225CHBR","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Complementory Products>Faucets Accessories ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Extension Nipple 75 mm","","250","AF902230CHBR","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Complementory Products>Faucets Accessories ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Extension Nipple 100 mm","","300","AF902240CHBR","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Complementory Products>Faucets Accessories ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Extension Nipple 150 mm","","500","AF902260CHBR","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Complementory Products>Faucets Accessories ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Connection Pipe PVC-450 mm","","250","AF901702XXPV","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Complementory Products>Faucets Accessories ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Connection Pipe PVC-600 mm","","300","AF901703XXPV","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Complementory Products>Faucets Accessories ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Connection Pipe SS-450 mm","","700","AF901702XXSS","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Complementory Products>Faucets Accessories ","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Floor Drainer 125 mm SS","","700","AF902101CHSS","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Complementory Products>Floor Drainers","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Floor Drainer with Anti-cockroach Trap 125 mm SS","","1200","AF902103CHSS","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Complementory Products>Floor Drainers","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Floor Drainer150 mm SS","","800","AF902104CHSS","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Complementory Products>Floor Drainers","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Floor Drainer with Anti-cockroach Trap 150 mm SS","","1300","AF902105CHSS","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Complementory Products>Floor Drainers","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Clinical Pillar Cock","","2350","AF901501CHBR","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Clinical Faucets & Pressmatics","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Clinical Basin Mixer Single Lever","","4150","AF901502CHBR","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Clinical Faucets & Pressmatics","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Clinical Bib Cock","","2450","AF901556CHBR","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Clinical Faucets & Pressmatics","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Pressmatic Pillar Cock","","2400","AF901101CHBR","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Clinical Faucets & Pressmatics","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Pressmatic Bib Cock","","2500","AF901156CHBR","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Clinical Faucets & Pressmatics","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Pressmatic Angle Valve","","2200","AF901166CHBR","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Clinical Faucets & Pressmatics","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
" Pressmatic Self Closing Angle Cock for Urinal with Flange & Connecting Pipe","","2450","AF901170CHBR","Flow Type","","Material Type","","Colour ","Chrome","","","","Faucets>Clinical Faucets & Pressmatics","https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png  ||  https://astralbathware.com/staging/wp-content/uploads/2022/08/D2-AF720201CHBR-Basin-M.png "
