"Product name ","Short Description","Regular Price","SKU","Attr - Distance","Attr - Distance Value","Attr - Size Name","Attr - Size Value","Attr  Flush Name","Attr - Flush Value","Attr - Seat Cover Name","Attr - Seat Cover Value","Attr - Colour","Attr - Colour Value","Attr - Feature Name","Attr - Feature Value","Feature Name 1","Feature Icon 1","Feature Name 2","Feature Icon 2","Feature Name 3","Feature Icon 3","Feature Name 4","Feature Icon 4","Collection","Collection Icon","Categories","Image URL"
"One Piece Toilets - 670 x 375 x 750 mm","","18500","ASOP5005TWSD","Wall Distance","S-225 MM","","","","","Seat Cover","Duroplast Soft Close Seat Cover","Colour ","TRUE WHITE","Feature","Whirlpool Flushing | True Rimless | Jet Siphonic Flushing | Slim Seat Cover ","Whirlpool Flushing","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/Whirlpool-flush.png","True Rimless ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/true-rimless.png","Jet Siphonic Flushing","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/jet-siphonic.png","Slim Seat Cover ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","Imperia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/imperia.png","Sanitaryware>Toilets>One Piece Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png"
"One Piece Toilets - 745 x 362 x 665 mm","","18000","ASOP5006TWPS","Wall Distance","S-225 MM","","","","","Seat Cover","PP Soft Close Seat Cover","Colour ","TRUE WHITE","Feature","","","","","","","","","","Imperia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/imperia.png","Sanitaryware>Toilets>One Piece Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png"
"One Piece Toilets - 725 x 365 x 700 mm","","17500","ASOP5003TWDS","Wall Distance","S-250 MM","","","","","Seat Cover","Duroplast Soft Close Seat Cover","Colour ","TRUE WHITE","Feature","","","","","","","","","","Imperia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/imperia.png","Sanitaryware>Toilets>One Piece Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png"
"One Piece Toilets -750 x 360 x 680 mm","","17000","ASOP5002TWSP","Wall Distance","S-220 MM ","","","","","Seat Cover","PP Soft Close Seat Cover","Colour ","TRUE WHITE","Feature","Slim Seat Cover ","Slim Seat Cover ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","","","","","","","Imperia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/imperia.png","Sanitaryware>Toilets>One Piece Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png"
"One Piece Toilets - 720 x 370 x 700 mm","","16000","ASOP5001TWPS","Wall Distance","S-250 MM","","","","","Seat Cover","PP Soft Close Seat Cover","Colour ","TRUE WHITE","Feature","","","","","","","","","","Imperia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/imperia.png","Sanitaryware>Toilets>One Piece Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png"
"One Piece Toilets - 720 x 370 x 700 mm","","16000","ASOP5007TWPS","Wall Distance","S-300 MM","","","","","Seat Cover","PP Soft Close Seat Cover","Colour ","TRUE WHITE","Feature","","","","","","","","","","Imperia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/imperia.png","Sanitaryware>Toilets>One Piece Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png"
"One Piece Toilets - 705 x 360 x 760 mm","","15500","ASOP3001TWSP","Wall Distance","S-300 MM","","","","","Seat Cover","PP Soft Close Seat Cover","Colour ","TRUE WHITE","Feature","Slim Seat Cover","Slim Seat Cover","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","","","","","","","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/premia.png","Sanitaryware>Toilets>One Piece Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png"
"One Piece Toilets - 705 x 360 x 760 mm","","15500","ASOP3011TWSP","Wall Distance","S-250 MM","","","","","Seat Cover","PP Soft Close Seat Cover","Colour ","TRUE WHITE","Feature","Slim Seat Cover","Slim Seat Cover","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","","","","","","","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/premia.png","Sanitaryware>Toilets>One Piece Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png"
"One Piece Toilets - 765 x 360 x 665 mm","","14500","ASOP3003TWSP","Wall Distance","S-225 MM","","","","","Seat Cover","PP Soft Close Seat Cover","Colour ","TRUE WHITE","Feature","True Rimless | Jet Siphonic Flushing | Slim Seat Cover ","True Rimless","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/true-rimless.png","Jet Siphonic Flushing","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/jet-siphonic.png","Slim Seat Cover ","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","","","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/premia.png","Sanitaryware>Toilets>One Piece Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png"
"One Piece Toilets - 765 x 360 x 665 mm","","14500","ASOP3002TWSP","Wall Distance","S-100 MM","","","","","Seat Cover","PP Soft Close Seat Cover","Colour ","TRUE WHITE","Feature","Slim Seat Cover","Slim Seat Cover","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","","","","","","","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/premia.png","Sanitaryware>Toilets>One Piece Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png"
"One Piece Toilets - 765 x 360 x 665 mm","","14500","ASOP3004TWSP","Wall Distance","P-180 MM","","","","","Seat Cover","PP Soft Close Seat Cover","Colour ","TRUE WHITE","Feature","Slim Seat Cover","Slim Seat Cover","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","","","","","","","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/premia.png","Sanitaryware>Toilets>One Piece Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png"
"One Piece Toilets - 720 x 365 x 680 mm ","","13500","ASOP3009TWPS","Wall Distance","S-220 MM","","","","","Seat Cover","PP Soft Close Seat Cover","Colour ","TRUE WHITE","Feature","","","","","","","","","","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/premia.png","Sanitaryware>Toilets>One Piece Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png"
"One Piece Toilets - 720 x 365 x 680 mm ","","13500","ASOP3010TWPS","Wall Distance","S-300 MM","","","","","Seat Cover","PP Soft Close Seat Cover","Colour ","TRUE WHITE","Feature","","","","","","","","","","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/premia.png","Sanitaryware>Toilets>One Piece Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png"
"One Piece Toilets - 750 x 365 x 675 mm ","","12500","ASOP3006TWSP","Wall Distance","S-225 MM","","","","","Seat Cover","PP Soft Close Seat Cover","Colour ","TRUE WHITE","Feature","Slim Seat Cover","Slim Seat Cover","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","","","","","","","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/premia.png","Sanitaryware>Toilets>One Piece Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png"
"One Piece Toilets - 750 x 365 x 675 mm ","","12500","ASOP3005TWSP","Wall Distance","S-300 MM","","","","","Seat Cover","PP Soft Close Seat Cover","Colour ","TRUE WHITE","Feature","Slim Seat Cover","Slim Seat Cover","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","","","","","","","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/premia.png","Sanitaryware>Toilets>One Piece Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png"
"One Piece Toilets - 750 x 365 x 675 mm ","","12500","ASOP3007TWSP","Wall Distance","P-180 MM","","","","","Seat Cover","PP Soft Close Seat Cover","Colour ","TRUE WHITE","Feature","Slim Seat Cover","Slim Seat Cover","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","","","","","","","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/premia.png","Sanitaryware>Toilets>One Piece Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png"
"One Piece Toilets - 750 x 368 x 690 mm ","","12000","ASOP3008TWSP","Wall Distance","S-225 MM","","","","","Seat Cover","PP Soft Close Seat Cover","Colour ","TRUE WHITE","Feature","Slim Seat Cover","Slim Seat Cover","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/slim-seat-covers.png","","","","","","","Premia","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/06/premia.png","Sanitaryware>Toilets>One Piece Toilets","https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-5.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-2.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-1.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-3.png || https://kwebmakerdigitalagency.com/astral/wp-content/uploads/2022/07/sample_img-4.png"
